Title,Rating,Colors,Size,Gender,Timestamp,Price_in_dolar,Price_in_rupiah
T-shirt 2,3.9,3,M,Women,2025-05-16 08:50:11.902,102.15,1634400.0
Hoodie 3,4.8,3,L,Unisex,2025-05-16 08:50:11.902,496.88,7950080.0
Pants 4,3.3,3,XL,Men,2025-05-16 08:50:11.902,467.31,7476960.0
Outerwear 5,3.5,3,XXL,Women,2025-05-16 08:50:11.902,321.59,5145440.0
Jacket 6,3.3,3,S,Unisex,2025-05-16 08:50:11.902,153.37,2453920.0
Crewneck 7,4.3,3,M,Men,2025-05-16 08:50:11.902,430.75,6892000.0
T-shirt 8,3.1,3,L,Women,2025-05-16 08:50:11.902,487.66,7802560.0
Hoodie 9,3.2,3,XL,Unisex,2025-05-16 08:50:11.902,248.26,3972160.0
Pants 10,4.2,3,XXL,Men,2025-05-16 08:50:11.902,193.76,3100160.0
Jacket 12,3.9,3,M,Unisex,2025-05-16 08:50:11.902,532.99,8527840.0
Crewneck 13,3.2,3,L,Men,2025-05-16 08:50:11.902,340.45,5447200.0
T-shirt 14,3.8,3,XL,Women,2025-05-16 08:50:11.902,203.05,3248800.0
Hoodie 15,3.6,3,XXL,Unisex,2025-05-16 08:50:11.902,136.51,2184160.0
Outerwear 17,3.8,3,M,Women,2025-05-16 08:50:11.902,52.6,841600.0
Jacket 18,3.8,3,L,Unisex,2025-05-16 08:50:11.902,343.75,5500000.0
Crewneck 19,3.6,3,XL,Men,2025-05-16 08:50:11.902,81.81,1308960.0
T-shirt 20,3.4,3,XXL,Women,2025-05-16 08:50:11.907,82.85,1325600.0
Pants 22,4.9,3,M,Men,2025-05-16 08:50:11.998,269.98,4319680.0
Outerwear 23,3.7,3,L,Women,2025-05-16 08:50:11.998,290.99,4655840.0
Jacket 24,3.9,3,XL,Unisex,2025-05-16 08:50:11.998,513.97,8223520.0
Crewneck 25,3.3,3,XXL,Men,2025-05-16 08:50:11.998,520.16,8322559.999999999
T-shirt 26,4.6,3,S,Women,2025-05-16 08:50:11.998,455.77,7292320.0
Hoodie 27,4.8,3,M,Unisex,2025-05-16 08:50:11.998,221.99,3551840.0
Pants 28,4.0,3,L,Men,2025-05-16 08:50:11.998,326.01,5216160.0
